uid,"daddr","time","uncertain","Tracker","Category","Package","App"
10315,"v16-cla.tiktokcdn.com","1683194010173","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"v16m.tiktokcdn.com","1683553882678","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"v39-eu.tiktokcdn.com","1683553831219","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"v77.tiktokcdn.com","1683553886356","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"vast.doubleverify.com","1683533333466","0","DoubleVerify","FingerprintingGeneral","com.zhiliaoapp.musically","TikTok"
10315,"vcs-i18n.tiktokv.com","1683553767755","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"vtrk.doubleverify.com","1683533374259","0","DoubleVerify","FingerprintingGeneral","com.zhiliaoapp.musically","TikTok"
10315,"webcast16-normal-c-useast2a.tiktokv.com","1683530204279","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"webcast19-normal-c-useast2a.tiktokv.com","1683526000577","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"webcast22-ws-useast2a.tiktokv.com","1683649583564","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"api31-core-useast2a.tiktokv.com","1683562061910","1","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"log22-normal-useast2a.tiktokv.com","1683362495887","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10315,"cdn.doubleverify.com","1683533365155","0","DoubleVerify","FingerprintingGeneral","com.zhiliaoapp.musically","TikTok"
10315,"sf16-geckocdn.tiktokcdn.com","1683553828832","0","ByteDance","Uncategorised","com.zhiliaoapp.musically","TikTok"
10316,"app.adjust.com","1683192484500","0","Adjust","FingerprintingGeneral","ch.helsana.myHelsana","myHelsana"
10316,"firebase-settings.crashlytics.com","1683192476404","0","Google","Analytics","ch.helsana.myHelsana","myHelsana"
10316,"firebaseinappmessaging.googleapis.com","1683192556520","1","Google","Content","ch.helsana.myHelsana","myHelsana"
10317,"firebaseinappmessaging.googleapis.com","1683193965071","1","Google","Content","online.konstruktor.groupemutuel","Groupe Mutuel"
10317,"o244476.ingest.sentry.io","1683192505781","0","Functional Software Inc","Uncategorised","online.konstruktor.groupemutuel","Groupe Mutuel"
10317,"sentry.io","1683192467584","0","Functional Software Inc","Uncategorised","online.konstruktor.groupemutuel","Groupe Mutuel"
10318,"content-autofill.googleapis.com","1683549018213","1","Google","Content","com.assura.myassura","Assura"
10318,"firebase-settings.crashlytics.com","1683548005526","0","Google","Analytics","com.assura.myassura","Assura"
10318,"firebaseinappmessaging.googleapis.com","1683194721786","1","Google","Content","com.assura.myassura","Assura"
10318,"firebaseinstallations.googleapis.com","1683192389305","1","Google","Content","com.assura.myassura","Assura"
10319,"firebase-settings.crashlytics.com","1683192421961","0","Google","Analytics","com.axa.android.smartclaims.ch","MyAXA CH"
