request_time,begintrip_time,begintrip_latitude,begintrip_longitude,dropoff_time,dropoff_latitude,dropoff_longitude,status,currency,fare_profile,fare,distance,duration,surge_multiplier
2015-12-10 20:55:52,2015-12-10 21:06:23,46.18962,6.1596146,2015-12-10 21:16:32,46.1945486,6.1419278,completed,CHF,uberX,14.7,1.87,10.1666666667,1.0
2015-12-10 21:18:42,2015-12-10 21:22:41,46.1866994,6.1398495,2015-12-10 21:28:25,46.1747992,6.1549011,completed,CHF,uberX,11.73,1.53,5.75,1.0
2015-12-10 21:34:49,2015-12-10 21:41:02,46.1940351,6.1437267,2015-12-10 21:46:54,46.1889449,6.1602355,completed,CHF,uberX,10.63,1.21,5.86666666667,1.0
2015-12-10 22:35:47,2015-12-10 22:40:52,46.2023638,6.1447251,2015-12-10 23:29:54,46.4136643,6.206213,completed,CHF,uberX,104.71,22.91,49.0166666667,1.0
2015-12-10 23:32:50,2015-12-10 23:41:48,46.382187,6.2421625,2015-12-10 23:52:55,46.4006199,6.1749225,completed,CHF,uberX,22.48,3.96,11.1166666667,1.0
2015-12-10 23:57:41,2015-12-11 0:22:57,46.4203893,6.269205,2015-12-11 0:45:40,46.5480608,6.5544626,completed,CHF,uberX,83.94,20.02,22.7166666667,1.0
2015-12-11 1:26:22,2015-12-11 1:27:46,46.2146904,6.1517878,2015-12-11 1:32:30,46.2010634,6.1599882,completed,CHF,uberX,16.14,1.38,4.73333333333,1.5
2015-12-11 1:35:10,2015-12-11 1:35:44,,,,,,driver_canceled,CHF,uberX,0.0,,,1.0
2015-12-11 1:46:12,2015-12-11 2:00:15,46.1980731,6.1627113,2015-12-11 2:04:36,46.2030295,6.146078,completed,CHF,uberX,9.21,0.98,4.35,1.0
2015-12-11 20:48:09,2015-12-11 20:51:56,46.1897453,6.1513636,2015-12-11 21:00:51,46.2037474,6.1735968,completed,CHF,uberX,14.23,1.88,8.9,1.0
2015-12-11 21:08:31,2015-12-11 21:11:12,46.1992664,6.1563262,2015-12-11 21:16:23,46.2088945,6.1492827,completed,CHF,uberX,9.63,1.0,5.2,1.0
2015-12-11 21:54:45,2015-12-11 22:01:02,46.1874659,6.1566686,2015-12-11 22:12:28,46.209973,6.1503559,completed,CHF,uberX,16.85,2.34,11.4333333333,1.0
2015-12-11 22:44:21,2015-12-11 22:50:51,46.1875208,6.154476,2015-12-11 22:59:49,46.2013238,6.1378661,completed,CHF,uberX,13.25,1.6,8.96666666667,1.0
2015-12-11 23:06:13,2015-12-11 23:12:30,46.1901934,6.1373008,2015-12-11 23:20:19,46.2020101,6.1457608,completed,CHF,uberX,11.25,1.17,7.8,1.0
2015-12-11 23:27:35,2015-12-11 23:30:42,46.2019189,6.1380305,2015-12-11 23:38:08,46.2104672,6.1432057,completed,CHF,uberX,11.06,1.15,7.43333333333,1.0
2015-12-11 23:49:18,2015-12-11 23:53:47,46.1892068,6.1547024,2015-12-12 0:09:47,46.1315869,6.1516821,completed,CHF,uberX,42.63,5.09,16.0166666667,1.5
2015-12-11 2:08:23,2015-12-11 2:11:57,46.2013862,6.1440165,2015-12-11 2:18:12,46.1897461,6.1433726,completed,CHF,uberX,11.34,1.36,6.26666666667,1.0
2015-12-11 2:22:53,2015-12-11 2:26:40,46.1986889,6.1374938,2015-12-11 2:32:14,46.2114357,6.1477135,completed,CHF,uberX,14.42,1.37,5.56666666667,1.3
2015-12-11 2:44:20,2015-12-11 2:52:38,46.2031357,6.1454607,2015-12-11 3:01:54,46.2016111,6.1762471,completed,CHF,uberX,14.53,1.93,9.26666666667,1.0
2015-12-12 0:21:25,2015-12-12 0:29:35,46.1801795,6.1386318,2015-12-12 0:43:40,46.2201857,6.1452815,completed,CHF,uberX,21.0,3.21,14.0666666667,1.0
2015-12-12 0:44:33,2015-12-12 0:54:44,46.2165687,6.1475439,2015-12-12 1:11:33,46.1668564,6.1873429,completed,CHF,uberX,28.88,5.13,16.8166666667,1.0
2015-12-12 1:54:27,2015-12-12 2:01:58,46.1928169,6.162903,2015-12-12 2:09:18,46.2105128,6.1514626,completed,CHF,uberX,13.71,1.91,7.33333333333,1.0
2015-12-12 21:53:21,2015-12-12 21:58:02,46.1873336,6.1120258,2015-12-12 22:09:48,46.2121266,6.1447569,completed,CHF,uberX,18.18,2.68,11.7833333333,1.0
